block,flat_type,level_str,level_number,unit_id,stack,area_sqm,price,tag,available
95A,"3-Room (Income Ceiling $14,000)",#15,15,6964,504,69,395300,,True
95A,"3-Room (Income Ceiling $14,000)",#15,15,6982,506,69,395300,,True
95A,"3-Room (Income Ceiling $14,000)",#15,15,7000,508,69,399600,,False
95A,"3-Room (Income Ceiling $14,000)",#15,15,7015,510,69,399600,,False
95A,"3-Room (Income Ceiling $14,000)",#15,15,7030,512,69,395300,,True
95A,"3-Room (Income Ceiling $14,000)",#14,14,6963,504,69,393600,MGPS 3+4,True
95A,"3-Room (Income Ceiling $14,000)",#14,14,6981,506,69,393600,,True
95A,"3-Room (Income Ceiling $14,000)",#14,14,6999,508,69,397900,,False
95A,"3-Room (Income Ceiling $14,000)",#14,14,7014,510,69,397900,MGPS 3+4,False
95A,"3-Room (Income Ceiling $14,000)",#14,14,7029,512,69,393600,,True
95A,"3-Room (Income Ceiling $14,000)",#13,13,6962,504,69,391900,,True
95A,"3-Room (Income Ceiling $14,000)",#13,13,6980,506,69,391900,,True
95A,"3-Room (Income Ceiling $14,000)",#13,13,6998,508,69,396200,,True
95A,"3-Room (Income Ceiling $14,000)",#13,13,7013,510,69,396200,,False
95A,"3-Room (Income Ceiling $14,000)",#13,13,7028,512,69,391900,,True
95A,"3-Room (Income Ceiling $14,000)",#12,12,6961,504,69,390200,,True
95A,"3-Room (Income Ceiling $14,000)",#12,12,6979,506,69,390200,,True
95A,"3-Room (Income Ceiling $14,000)",#12,12,6997,508,69,394500,,True
95A,"3-Room (Income Ceiling $14,000)",#12,12,7012,510,69,394500,,False
95A,"3-Room (Income Ceiling $14,000)",#12,12,7027,512,69,390200,,True
95A,"3-Room (Income Ceiling $14,000)",#11,11,6960,504,69,388500,,True
95A,"3-Room (Income Ceiling $14,000)",#11,11,6978,506,69,388500,,True
95A,"3-Room (Income Ceiling $14,000)",#11,11,6996,508,69,392800,MGPS 3+4,False
95A,"3-Room (Income Ceiling $14,000)",#11,11,7011,510,69,392800,,False
95A,"3-Room (Income Ceiling $14,000)",#11,11,7026,512,69,388500,GRO,False
95A,"3-Room (Income Ceiling $14,000)",#10,10,6959,504,69,386800,,True
95A,"3-Room (Income Ceiling $14,000)",#10,10,6977,506,69,386800,,True
95A,"3-Room (Income Ceiling $14,000)",#10,10,6995,508,69,391100,,True
95A,"3-Room (Income Ceiling $14,000)",#10,10,7010,510,69,391100,,True
95A,"3-Room (Income Ceiling $14,000)",#10,10,7025,512,69,386800,,True
95A,"3-Room (Income Ceiling $14,000)",#09,9,6958,504,69,385100,,True
95A,"3-Room (Income Ceiling $14,000)",#09,9,6976,506,69,385100,,True
95A,"3-Room (Income Ceiling $14,000)",#09,9,6994,508,69,389400,,False
95A,"3-Room (Income Ceiling $14,000)",#09,9,7009,510,69,389400,MGPS 3+4,False
95A,"3-Room (Income Ceiling $14,000)",#09,9,7024,512,69,385100,MGPS 3+4,False
95A,"3-Room (Income Ceiling $14,000)",#08,8,6957,504,69,383400,,True
95A,"3-Room (Income Ceiling $14,000)",#08,8,6975,506,69,383400,,True
95A,"3-Room (Income Ceiling $14,000)",#08,8,6993,508,69,387700,,False
95A,"3-Room (Income Ceiling $14,000)",#08,8,7008,510,69,387700,,True
95A,"3-Room (Income Ceiling $14,000)",#08,8,7023,512,69,383400,,True
95A,"3-Room (Income Ceiling $14,000)",#07,7,6956,504,69,379100,,True
95A,"3-Room (Income Ceiling $14,000)",#07,7,6974,506,69,379100,,True
95A,"3-Room (Income Ceiling $14,000)",#07,7,6992,508,69,383400,,True
95A,"3-Room (Income Ceiling $14,000)",#07,7,7007,510,69,383400,MGPS 3+4,False
95A,"3-Room (Income Ceiling $14,000)",#07,7,7022,512,69,379100,,True
95A,"3-Room (Income Ceiling $14,000)",#06,6,6955,504,69,374800,MGPS 3+4,True
95A,"3-Room (Income Ceiling $14,000)",#06,6,6973,506,69,374800,,True
95A,"3-Room (Income Ceiling $14,000)",#06,6,6991,508,69,379100,,True
95A,"3-Room (Income Ceiling $14,000)",#06,6,7006,510,69,379100,,True
95A,"3-Room (Income Ceiling $14,000)",#06,6,7021,512,69,374800,,True
95A,"3-Room (Income Ceiling $14,000)",#05,5,6954,504,69,370500,,True
95A,"3-Room (Income Ceiling $14,000)",#05,5,6972,506,69,370500,MGPS 3+4,True
95A,"3-Room (Income Ceiling $14,000)",#05,5,6990,508,69,370500,,True
95A,"3-Room (Income Ceiling $14,000)",#05,5,7005,510,69,370500,,True
95A,"3-Room (Income Ceiling $14,000)",#05,5,7020,512,69,370500,,True
95A,"3-Room (Income Ceiling $14,000)",#04,4,6953,504,69,359800,,True
95A,"3-Room (Income Ceiling $14,000)",#04,4,6971,506,69,359800,,True
95A,"3-Room (Income Ceiling $14,000)",#04,4,6989,508,69,355500,,True
95A,"3-Room (Income Ceiling $14,000)",#04,4,7004,510,69,355500,,True
95A,"3-Room (Income Ceiling $14,000)",#04,4,7019,512,69,364100,,True
95A,"3-Room (Income Ceiling $14,000)",#03,3,6952,504,69,349100,,True
95A,"3-Room (Income Ceiling $14,000)",#03,3,6970,506,69,349100,,True
95A,"3-Room (Income Ceiling $14,000)",#03,3,6988,508,69,349100,MGPS 3+4,True
95A,"3-Room (Income Ceiling $14,000)",#03,3,7003,510,69,349100,,True
95A,"3-Room (Income Ceiling $14,000)",#03,3,7018,512,69,357700,,True
95A,"3-Room (Income Ceiling $14,000)",#02,2,6951,504,69,342700,MGPS 3+4,True
95A,"3-Room (Income Ceiling $14,000)",#02,2,6969,506,69,342700,,True
95A,"3-Room (Income Ceiling $14,000)",#02,2,6987,508,69,342700,,True
95A,"3-Room (Income Ceiling $14,000)",#02,2,7002,510,69,342700,,True
95A,"3-Room (Income Ceiling $14,000)",#02,2,7017,512,69,351300,,True
95A,4-Room,#19,19,7152,526,93,607100,,True
95A,4-Room,#19,19,7170,528,93,607100,,True
95A,4-Room,#18,18,7151,526,93,607100,,True
95A,4-Room,#18,18,7169,528,93,607100,MGPS 2+4,False
95A,4-Room,#17,17,7150,526,93,604700,MGPS 2+4,False
95A,4-Room,#17,17,7168,528,93,604700,MGPS 3+4,True
95A,4-Room,#16,16,7149,526,93,602300,MGPS 3+4,False
95A,4-Room,#16,16,7167,528,93,602300,,True
95A,4-Room,#15,15,7120,522,93,597500,,False
95A,4-Room,#15,15,7134,524,93,597500,,True
95A,4-Room,#15,15,7148,526,93,599900,,True
95A,4-Room,#15,15,7166,528,93,599900,,True
95A,4-Room,#14,14,7119,522,93,597500,MGPS 3+4,False
95A,4-Room,#14,14,7133,524,93,597500,,True
95A,4-Room,#14,14,7147,526,93,597500,,True
95A,4-Room,#14,14,7165,528,93,597500,MGPS 2+4,False
95A,4-Room,#13,13,7118,522,93,595100,,True
95A,4-Room,#13,13,7132,524,93,595100,,True
95A,4-Room,#13,13,7146,526,93,595100,,True
95A,4-Room,#13,13,7164,528,93,595100,MGPS 2+4,False
95A,4-Room,#12,12,7117,522,93,592700,,True
95A,4-Room,#12,12,7131,524,93,592700,,True
95A,4-Room,#12,12,7145,526,93,592700,,True
95A,4-Room,#12,12,7163,528,93,592700,,True
95A,4-Room,#11,11,7116,522,93,590300,MGPS 3+4,False
95A,4-Room,#11,11,7130,524,93,590300,MGPS 2+4,False
95A,4-Room,#11,11,7144,526,93,590300,MGPS 2+4,False
95A,4-Room,#11,11,7162,528,93,590300,,True
95A,4-Room,#10,10,7115,522,93,587900,,True
95A,4-Room,#10,10,7129,524,93,587900,,True
