block_number,flat_type,level_number,unit_id,unit_number,area_sqm,price
95B,"3-Room (Income Ceiling $14,000)",#09,7078,538,69,389400
95B,"3-Room (Income Ceiling $14,000)",#09,7096,540,69,389400
95B,"3-Room (Income Ceiling $14,000)",#08,7041,534,69,383400
95B,"3-Room (Income Ceiling $14,000)",#08,7059,536,69,383400
95B,"3-Room (Income Ceiling $14,000)",#08,7077,538,69,387700
95B,"3-Room (Income Ceiling $14,000)",#08,7095,540,69,387700
95B,"3-Room (Income Ceiling $14,000)",#07,7040,534,69,379100
95B,"3-Room (Income Ceiling $14,000)",#07,7058,536,69,379100
95B,"3-Room (Income Ceiling $14,000)",#07,7076,538,69,383400
95B,"3-Room (Income Ceiling $14,000)",#07,7094,540,69,383400
95B,"3-Room (Income Ceiling $14,000)",#06,7039,534,69,374800
95B,"3-Room (Income Ceiling $14,000)",#06,7057,536,69,374800
95B,"3-Room (Income Ceiling $14,000)",#06,7075,538,69,379100
95B,"3-Room (Income Ceiling $14,000)",#06,7093,540,69,379100
95B,"3-Room (Income Ceiling $14,000)",#05,7038,534,69,370500
95B,"3-Room (Income Ceiling $14,000)",#05,7056,536,69,370500
95B,"3-Room (Income Ceiling $14,000)",#05,7074,538,69,370500
95B,"3-Room (Income Ceiling $14,000)",#05,7092,540,69,370500
95B,"3-Room (Income Ceiling $14,000)",#04,7037,534,69,364100
95B,"3-Room (Income Ceiling $14,000)",#04,7055,536,69,364100
95B,"3-Room (Income Ceiling $14,000)",#04,7073,538,69,364100
95B,"3-Room (Income Ceiling $14,000)",#04,7091,540,69,364100
95B,"3-Room (Income Ceiling $14,000)",#03,7036,534,69,357700
95B,"3-Room (Income Ceiling $14,000)",#03,7054,536,69,357700
95B,"3-Room (Income Ceiling $14,000)",#03,7072,538,69,357700
95B,"3-Room (Income Ceiling $14,000)",#03,7090,540,69,357700
95B,"3-Room (Income Ceiling $14,000)",#02,7035,534,69,351300
95B,"3-Room (Income Ceiling $14,000)",#02,7053,536,69,351300
95B,"3-Room (Income Ceiling $14,000)",#02,7071,538,69,351300
95B,"3-Room (Income Ceiling $14,000)",#02,7089,540,69,351300
95B,4-Room,#19,7188,550,93,607100
95B,4-Room,#19,7206,552,93,607100
95B,4-Room,#19,7223,554,93,607100
95B,4-Room,#19,7240,556,93,607100
95B,4-Room,#18,7187,550,93,607100
95B,4-Room,#18,7205,552,93,607100
95B,4-Room,#18,7222,554,93,607100
95B,4-Room,#18,7239,556,93,607100
95B,4-Room,#17,7186,550,93,604700
95B,4-Room,#17,7204,552,93,604700
95B,4-Room,#17,7221,554,93,604700
95B,4-Room,#17,7238,556,93,604700
95B,4-Room,#16,7185,550,93,602300
95B,4-Room,#16,7203,552,93,602300
95B,4-Room,#16,7220,554,93,602300
95B,4-Room,#16,7237,556,93,596200
95B,4-Room,#15,7184,550,93,599900
95B,4-Room,#15,7202,552,93,599900
95B,4-Room,#15,7219,554,93,599900
95B,4-Room,#15,7236,556,93,593800
95B,4-Room,#14,7183,550,93,597500
95B,4-Room,#14,7201,552,93,597500
95B,4-Room,#14,7218,554,93,597500
95B,4-Room,#14,7235,556,93,591400
95B,4-Room,#13,7182,550,93,595100
95B,4-Room,#13,7200,552,93,595100
95B,4-Room,#13,7217,554,93,595100
95B,4-Room,#13,7234,556,93,589000
95B,4-Room,#12,7181,550,93,592700
95B,4-Room,#12,7199,552,93,592700
95B,4-Room,#12,7216,554,93,592700
95B,4-Room,#12,7233,556,93,586600
95B,4-Room,#11,7180,550,93,590300
95B,4-Room,#11,7198,552,93,590300
95B,4-Room,#11,7215,554,93,590300
95B,4-Room,#11,7232,556,93,584200
95B,4-Room,#10,7179,550,93,587900
95B,4-Room,#10,7197,552,93,587900
95B,4-Room,#10,7214,554,93,587900
95B,4-Room,#10,7231,556,93,581800
95B,4-Room,#09,7178,550,93,585500
95B,4-Room,#09,7196,552,93,585500
95B,4-Room,#09,7213,554,93,585500
95B,4-Room,#09,7230,556,93,579400
95B,4-Room,#08,7177,550,93,583100
95B,4-Room,#08,7195,552,93,583100
95B,4-Room,#08,7212,554,93,583100
95B,4-Room,#08,7229,556,93,577000
95B,4-Room,#07,7176,550,93,577000
95B,4-Room,#07,7194,552,93,577000
95B,4-Room,#07,7211,554,93,577000
95B,4-Room,#07,7228,556,93,570900
95B,4-Room,#06,7175,550,93,570900
95B,4-Room,#06,7193,552,93,570900
95B,4-Room,#06,7210,554,93,570900
95B,4-Room,#06,7227,556,93,564800
95B,4-Room,#05,7174,550,93,564800
95B,4-Room,#05,7192,552,93,564800
