block,floor,stack,size,price
95C,#02,572,93 sqm,"$537,200"
95C,#02,574,93 sqm,"$537,200"
97A,#19,580,93 sqm,"$613,200"
97A,#19,582,93 sqm,"$613,200"
97A,#19,588,93 sqm,"$613,200"
97A,#19,590,93 sqm,"$613,200"
97A,#19,592,93 sqm,"$625,400"
97A,#19,594,93 sqm,"$625,400"
97A,#19,596,93 sqm,"$613,200"
97A,#19,598,93 sqm,"$613,200"
97A,#19,600,93 sqm,"$613,200"
97A,#18,580,93 sqm,"$613,200"
97A,#18,582,93 sqm,"$613,200"
97A,#18,588,93 sqm,"$613,200"
97A,#18,590,93 sqm,"$613,200"
97A,#18,592,93 sqm,"$625,400"
97A,#18,594,93 sqm,"$625,400"
97A,#18,596,93 sqm,"$613,200"
97A,#18,598,93 sqm,"$613,200"
97A,#18,600,93 sqm,"$613,200"
97A,#17,580,93 sqm,"$610,800"
97A,#17,582,93 sqm,"$610,800"
97A,#17,588,93 sqm,"$610,800"
97A,#17,590,93 sqm,"$610,800"
97A,#17,592,93 sqm,"$623,000"
97A,#17,594,93 sqm,"$623,000"
97A,#17,596,93 sqm,"$610,800"
97A,#17,598,93 sqm,"$610,800"
97A,#17,600,93 sqm,"$610,800"
97A,#16,580,93 sqm,"$608,400"
97A,#16,582,93 sqm,"$608,400"
97A,#16,588,93 sqm,"$608,400"
97A,#16,590,93 sqm,"$608,400"
97A,#16,592,93 sqm,"$620,600"
97A,#16,594,93 sqm,"$620,600"
97A,#16,596,93 sqm,"$608,400"
97A,#16,598,93 sqm,"$608,400"
97A,#16,600,93 sqm,"$608,400"
97A,#15,580,93 sqm,"$599,900"
97A,#15,582,93 sqm,"$599,900"
97A,#15,584,93 sqm,"$597,500"
97A,#15,586,93 sqm,"$597,500"
97A,#15,588,93 sqm,"$599,900"
97A,#15,590,93 sqm,"$599,900"
97A,#15,592,93 sqm,"$612,100"
97A,#15,594,93 sqm,"$612,100"
97A,#15,596,93 sqm,"$599,900"
97A,#15,598,93 sqm,"$599,900"
97A,#15,600,93 sqm,"$599,900"
97A,#14,580,93 sqm,"$597,500"
97A,#14,582,93 sqm,"$597,500"
97A,#14,584,93 sqm,"$597,500"
97A,#14,586,93 sqm,"$597,500"
97A,#14,588,93 sqm,"$597,500"
97A,#14,590,93 sqm,"$597,500"
97A,#14,592,93 sqm,"$609,700"
97A,#14,594,93 sqm,"$609,700"
97A,#14,596,93 sqm,"$597,500"
97A,#14,598,93 sqm,"$597,500"
97A,#14,600,93 sqm,"$597,500"
97A,#13,580,93 sqm,"$595,100"
97A,#13,582,93 sqm,"$595,100"
97A,#13,584,93 sqm,"$595,100"
97A,#13,586,93 sqm,"$595,100"
97A,#13,588,93 sqm,"$595,100"
97A,#13,590,93 sqm,"$595,100"
97A,#13,592,93 sqm,"$607,300"
97A,#13,594,93 sqm,"$607,300"
97A,#13,596,93 sqm,"$595,100"
97A,#13,598,93 sqm,"$595,100"
97A,#13,600,93 sqm,"$595,100"
97A,#12,580,93 sqm,"$592,700"
97A,#12,582,93 sqm,"$592,700"
97A,#12,584,93 sqm,"$592,700"
